Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
balance,SSA_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,43.51,138.89
balance,PSO_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,42.96,138.92
balance,GA_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,43.42,139.83
balance,BAT_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,42.06,138.9
balance,FFA_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,46.0,138.89
balance,GWO_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,43.68,138.92
balance,WOA_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,44.06,139.77
balance,MVO_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,44.23,138.9
balance,MFO_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,43.33,138.9
balance,CS_mpi,RING,CLONE,BEST,BEST,4,4,SSE,3,85.48,142.42
balance,SSA_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,42.72,138.89
balance,PSO_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,43.65,138.91
balance,GA_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,43.33,139.94
balance,BAT_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,41.53,138.89
balance,FFA_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,44.81,138.89
balance,GWO_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,43.47,138.92
balance,WOA_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,43.07,139.79
balance,MVO_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,44.76,138.9
balance,MFO_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,43.75,138.9
balance,CS_mpi,RING,CLONE,BEST,WORST,4,4,SSE,3,85.3,140.55
balance,SSA_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,43.1,138.9
balance,PSO_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,42.77,138.95
balance,GA_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,43.73,139.9
balance,BAT_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,41.4,138.89
balance,FFA_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,45.79,138.89
balance,GWO_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,42.68,138.92
balance,WOA_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,43.37,139.88
balance,MVO_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,44.22,138.9
balance,MFO_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,44.19,138.9
balance,CS_mpi,RING,CLONE,BEST,RANDOM,4,4,SSE,3,84.89,140.56
balance,SSA_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,44.0,138.89
balance,PSO_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,42.87,138.9
balance,GA_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,43.24,139.96
balance,BAT_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,41.09,138.89
balance,FFA_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,45.36,138.89
balance,GWO_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,43.43,138.92
balance,WOA_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,44.68,139.63
balance,MVO_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,42.86,138.9
balance,MFO_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,43.42,138.9
balance,CS_mpi,RING,CLONE,WORST,BEST,4,4,SSE,3,85.24,140.41
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,43.89,138.89
balance,PSO_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,44.01,138.92
balance,GA_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,42.45,139.86
balance,BAT_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,41.47,138.89
balance,FFA_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,44.48,138.89
balance,GWO_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,43.05,138.92
balance,WOA_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,43.13,140.1
balance,MVO_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,43.43,138.9
